latitude,longitude,state,zipcode
41.7777,-72.5244,Connecticut,60004
41.281,-73.932,New York,10005
34.6861,-86.62,Alabama,30508
38.9415,-89.9644,Illinois,60200
34.1629,-79.832,South Carolina,20905
39.8928,-76.6223,Pennsylvania,10703
32.2696,-80.9203,South Carolina,20909
39.123,-94.7257,Kansas,60601
41.5751,-90.5364,Iowa,50208
33.4687,-88.7302,Mississippi,0
42.4792,-96.4184,Nebraska,60807
37.7059,-97.3758,Kansas,60702
41.4889,-90.5499,Illinois,60102
43.5064,-96.7764,South Dakota,50701
42.2468,-88.6181,Illinois,60001
36.676,-93.2481,Missouri,60506
36.1292,-120.372,California,90302
34.5574,-92.5448,Arkansas,70200
30.475,-91.134,Louisiana,70008
